snapshot_date,total_jobs,total_companies,remote_jobs,ny_jobs,new_jobs_count,removed_jobs_count,retained_jobs_count,top_company_by_jobs,top_city_by_jobs
2026-05-21,383,21,1,325,383,0,0,Saab Group,East Syracuse
2026-05-22,383,21,1,325,0,0,383,Saab Group,East Syracuse
2026-05-23,450,25,12,317,323,256,127,ITT Enidine,Orchard Park
2026-05-24,470,26,13,334,35,15,435,ITT Enidine,Orchard Park
2026-05-25,488,26,26,337,49,31,439,ITT Enidine,Orchard Park
2026-05-27,457,25,25,303,82,113,375,ITT Enidine,Orchard Park
2026-05-28,472,26,19,313,150,135,322,ITT Enidine,Orchard Park
2026-05-29,470,27,22,317,123,125,347,ITT Enidine,Orchard Park
2026-05-30,471,26,26,319,75,74,396,ITT Enidine,Orchard Park
2026-05-31,465,26,27,315,43,49,422,ITT Enidine,Orchard Park
2026-06-01,470,26,25,315,43,38,427,ITT Enidine,Orchard Park
2026-06-02,466,25,27,312,82,86,384,ITT Enidine,Orchard Park
2026-06-03,433,24,17,316,75,108,358,ITT Enidine,Orchard Park
2026-06-04,443,26,14,320,98,88,345,ITT Enidine,Orchard Park
2026-06-05,446,26,14,320,84,81,362,ITT Enidine,Orchard Park
